"agegrp"	"gender"	"year"	"cause_code"	"rate"	"relrank"
"65-74"	"F"	2000	"N17-N19"	33.3	7
"65-74"	"M"	1999	"C00-C97"	1019.4	1
"65-74"	"M"	1999	"E10-E14"	99.8	6
"65-74"	"M"	1999	"I20-I25"	749.8	2
"65-74"	"M"	1999	"I30-I51"	157.6	4
"65-74"	"M"	1999	"I60-I69"	147.3	5
"65-74"	"M"	1999	"I70-I78"	54	7
"65-74"	"M"	1999	"J09-J18"	46.9	9
"65-74"	"M"	1999	"J40-J47"	210.7	3
"65-74"	"M"	1999	"K70-K76"	52.5	8
"65-74"	"M"	1999	"N17-N19"	41.5	10
"65-74"	"M"	2000	"C00-C97"	1001.9	1
"65-74"	"M"	2000	"E10-E14"	99.1	6
"65-74"	"M"	2000	"I20-I25"	705.2	2
"65-74"	"M"	2000	"I30-I51"	150.2	4
"65-74"	"M"	2000	"I60-I69"	145	5
"65-74"	"M"	2000	"I70-I78"	55.1	7
"65-74"	"M"	2000	"J09-J18"	48.3	9
"65-74"	"M"	2000	"J40-J47"	195.2	3
"65-74"	"M"	2000	"K70-K76"	49.7	8
"65-74"	"M"	2000	"N17-N19"	42.1	10
"75-84"	"F"	1999	"C00-C97"	1048.5	2
"75-84"	"F"	1999	"E10-E14"	164.9	6
"75-84"	"F"	1999	"G30-G31"	136.2	7
"75-84"	"F"	1999	"I10-I15"	100.7	9
"75-84"	"F"	1999	"I20-I25"	1106.3	1
"75-84"	"F"	1999	"I30-I51"	328.2	4
"75-84"	"F"	1999	"I60-I69"	449.8	3
"75-84"	"F"	1999	"I70-I78"	90.5	10
"75-84"	"F"	1999	"J09-J18"	131.3	8
"75-84"	"F"	1999	"J40-J47"	322.9	5
"75-84"	"F"	2000	"C00-C97"	1058.5	1
"75-84"	"F"	2000	"E10-E14"	166.3	6
"75-84"	"F"	2000	"G30-G31"	149.8	7
"75-84"	"F"	2000	"I10-I15"	101.9	9
"75-84"	"F"	2000	"I20-I25"	1055.2	2
"75-84"	"F"	2000	"I30-I51"	323.9	4
"75-84"	"F"	2000	"I60-I69"	442.1	3
"75-84"	"F"	2000	"I70-I78"	87.5	10
"75-84"	"F"	2000	"J09-J18"	134.6	8
"75-84"	"F"	2000	"J40-J47"	319.2	5
"75-84"	"M"	1999	"C00-C97"	1767	2
"75-84"	"M"	1999	"E10-E14"	198.2	6
"75-84"	"M"	1999	"G30-G31"	125.6	9
"75-84"	"M"	1999	"I20-I25"	1813.7	1
"75-84"	"M"	1999	"I30-I51"	430.5	5
"75-84"	"M"	1999	"I60-I69"	500.4	4
"75-84"	"M"	1999	"I70-I78"	144.2	8
"75-84"	"M"	1999	"J09-J18"	196.5	7
"75-84"	"M"	1999	"J40-J47"	513.2	3
"75-84"	"M"	1999	"N17-N19"	122.3	10
